LIST_ENTRPS,LIST_REGION,high_voltage
기아,강원특별자치도,0
기아,대전광역시,0
기아,경기도,1
기아,경기도,0
기아,충청남도,0
기아,인천광역시,0
기아,경상남도,0
기아,충청북도,1
기아,경기도,1
기아,경기도,1
기아,경상북도,1
기아,경기도,0
기아,충청북도,0
기아,서울특별시,1
기아,경기도,0
기아,경기도,1
기아,경기도,0
기아,경기도,0
기아,경상남도,0
기아,경기도,0
기아,전북특별자치도,0
기아,부산광역시,0
기아,서울특별시,0
기아,경상남도,0
기아,경상남도,0
기아,경상북도,1
기아,경기도,1
기아,경기도,0
기아,경상남도,1
기아,전라남도,0
기아,경상남도,1
기아,전북특별자치도,0
기아,경상남도,0
기아,울산광역시,0
기아,서울특별시,0
기아,경기도,0
기아,서울특별시,0
기아,강원특별자치도,1
기아,경상남도,1
기아,경기도,0
기아,서울특별시,0
기아,경상남도,0
기아,서울특별시,0
기아,전라남도,0
기아,경기도,0
기아,경상북도,0
기아,광주광역시,0
기아,경기도,1
기아,경기도,0
기아,경기도,0
기아,전라남도,1
기아,제주특별자치도,1
기아,경상남도,1
기아,대구광역시,1
기아,부산광역시,1
기아,대전광역시,1
기아,부산광역시,0
기아,서울특별시,0
기아,서울특별시,1
기아,경기도,1
기아,울산광역시,1
기아,강원특별자치도,1
기아,인천광역시,0
기아,전북특별자치도,1
기아,경기도,0
기아,제주특별자치도,1
기아,충청남도,1
기아,충청북도,1
기아,서울특별시,0
기아,서울특별시,0
기아,서울특별시,0
기아,전북특별자치도,0
기아,인천광역시,0
기아,충청남도,0
기아,경상북도,0
기아,경기도,1
기아,경상북도,0
기아,경기도,0
기아,경기도,0
기아,서울특별시,1
기아,경기도,1
기아,서울특별시,1
기아,제주특별자치도,0
기아,충청남도,0
기아,서울특별시,0
기아,서울특별시,0
기아,경상북도,0
기아,인천광역시,1
기아,경기도,0
기아,세종특별자치시,1
기아,세종특별자치시,1
기아,경기도,1
기아,광주광역시,0
기아,경기도,1
기아,강원특별자치도,1
기아,충청남도,1
기아,경기도,1
기아,전라남도,0
기아,서울특별시,0
기아,광주광역시,0
기아,전북특별자치도,0
기아,대전광역시,0
기아,전북특별자치도,0
기아,서울특별시,0
기아,대구광역시,1
기아,경기도,1
기아,서울특별시,0
기아,경기도,0
기아,경기도,0
기아,전북특별자치도,0
기아,전라남도,1
기아,경기도,0
기아,경기도,1
기아,서울특별시,1
기아,경기도,0
기아,충청남도,0
기아,서울특별시,0
기아,서울특별시,0
기아,서울특별시,0
기아,대구광역시,0
기아,서울특별시,0
기아,경기도,0
기아,전북특별자치도,0
기아,서울특별시,0
기아,서울특별시,0
기아,경상남도,0
기아,경상북도,1
기아,대구광역시,1
기아,경기도,1
기아,서울특별시,1
기아,서울특별시,0
기아,서울특별시,0
기아,광주광역시,0
기아,대구광역시,0
기아,대구광역시,1
기아,경기도,0
기아,충청남도,0
기아,인천광역시,0
기아,전북특별자치도,0
기아,전라남도,0
기아,경기도,1
기아,경기도,0
기아,전북특별자치도,0
기아,전라남도,0
기아,서울특별시,0
기아,충청남도,0
기아,광주광역시,0
기아,제주특별자치도,1
기아,경상북도,0
기아,충청북도,1
기아,경상북도,0
기아,부산광역시,0
기아,경기도,0
기아,경기도,1
기아,서울특별시,1
기아,경기도,0
기아,대전광역시,1
기아,경기도,1
기아,경기도,0
기아,경상남도,0
기아,광주광역시,0
기아,강원특별자치도,1
기아,경기도,1
기아,경기도,1
기아,전북특별자치도,0
기아,경기도,0
기아,울산광역시,0
기아,부산광역시,1
기아,전라남도,1
기아,경기도,0
기아,경기도,1
기아,전라남도,0
기아,경기도,0
기아,서울특별시,0
기아,서울특별시,1
기아,강원특별자치도,0
기아,부산광역시,0
기아,충청북도,1
기아,인천광역시,0
기아,인천광역시,0
기아,인천광역시,0
기아,부산광역시,1
기아,충청북도,0
기아,경기도,0
기아,전북특별자치도,0
기아,서울특별시,0
기아,충청북도,0
기아,강원특별자치도,1
기아,인천광역시,0
기아,부산광역시,1
기아,경상북도,0
기아,충청남도,0
기아,경기도,0
기아,제주특별자치도,0
기아,서울특별시,0
기아,경기도,0
기아,충청북도,0
기아,충청북도,0
기아,경상북도,0
기아,경기도,1
기아,경상북도,0
기아,충청남도,0
기아,서울특별시,0
기아,경상남도,0
기아,울산광역시,0
기아,경기도,0
기아,전라남도,0
기아,인천광역시,1
기아,경상북도,0
기아,제주특별자치도,1
기아,경상남도,1
기아,경상북도,0
기아,서울특별시,1
기아,대구광역시,0
기아,광주광역시,0
기아,경상북도,0
기아,전라남도,0
기아,인천광역시,0
기아,충청남도,0
기아,부산광역시,0
기아,경기도,0
기아,경기도,1
기아,울산광역시,0
기아,경기도,0
기아,강원특별자치도,1
기아,경상북도,0
기아,광주광역시,1
기아,서울특별시,0
기아,경기도,0
기아,경기도,0
기아,충청북도,1
기아,경상남도,0
기아,경상북도,0
기아,경기도,1
기아,강원특별자치도,0
기아,경상북도,0
기아,경기도,0
기아,서울특별시,0
기아,경상남도,0
기아,경기도,1
기아,경상북도,1
기아,강원특별자치도,0
기아,경기도,0
기아,인천광역시,1
기아,전북특별자치도,0
기아,전북특별자치도,0
기아,광주광역시,0
기아,경기도,0
기아,경기도,0
기아,경기도,0
기아,강원특별자치도,0
기아,서울특별시,0
기아,경기도,0
기아,서울특별시,0
기아,전북특별자치도,0
기아,전라남도,0
기아,경기도,0
기아,전라남도,0
기아,서울특별시,0
기아,경상남도,0
기아,경상남도,0
기아,경기도,0
기아,전라남도,1
기아,부산광역시,0
기아,경기도,1
기아,서울특별시,0
기아,전북특별자치도,1
기아,경상북도,0
기아,부산광역시,0
기아,서울특별시,0
기아,강원특별자치도,0
기아,강원특별자치도,0
기아,경기도,0
기아,경기도,0
기아,경기도,0
기아,제주특별자치도,1
기아,제주특별자치도,1
기아,전라남도,0
기아,세종특별자치시,0
기아,경기도,0
기아,부산광역시,0
기아,인천광역시,0
기아,인천광역시,0
기아,광주광역시,0
기아,경상북도,1
기아,서울특별시,0
기아,서울특별시,0
기아,서울특별시,0
기아,대구광역시,0
기아,경상남도,0
기아,부산광역시,0
기아,경기도,1
기아,대구광역시,0
기아,전라남도,0
기아,경상북도,0
기아,부산광역시,0
기아,경기도,0
기아,경상북도,0
기아,전북특별자치도,0
기아,광주광역시,0
기아,충청북도,1
기아,경기도,0
기아,경상남도,0
기아,경기도,1
기아,경상남도,1
기아,경기도,0
기아,충청남도,0
기아,전라남도,0
기아,경상북도,1
기아,경기도,0
기아,경상북도,0
기아,전북특별자치도,0
기아,경상남도,0
기아,광주광역시,0
기아,경기도,0
기아,충청북도,1
기아,경상남도,0
기아,경상남도,1
기아,강원특별자치도,0
기아,충청남도,1
기아,경기도,0
기아,경기도,0
기아,경상북도,0
기아,서울특별시,0
기아,경상북도,0
기아,충청북도,1
기아,경기도,0
기아,경기도,0
기아,전북특별자치도,0
기아,충청북도,1
기아,충청남도,0
기아,경상남도,0
기아,경기도,1
기아,강원특별자치도,0
기아,충청남도,1
기아,대구광역시,0
기아,경기도,0
기아,대전광역시,0
기아,경상남도,0
기아,경기도,1
기아,경기도,1
기아,강원특별자치도,0
기아,경기도,0
기아,경기도,1
기아,경기도,1
기아,경기도,0
기아,경상남도,0
기아,경상남도,0
기아,경기도,1
기아,대구광역시,0
기아,강원특별자치도,0
기아,충청남도,1
기아,경기도,0
기아,경기도,1
기아,경기도,0
기아,경기도,1
기아,경기도,0
기아,경기도,1
기아,경상북도,1
기아,충청남도,0
기아,광주광역시,0
기아,경상남도,0
기아,서울특별시,0
기아,경기도,0
기아,부산광역시,0
기아,경상남도,0
기아,경상남도,0
기아,충청북도,0
기아,제주특별자치도,1
기아,경기도,0
기아,전라남도,0
기아,경상북도,0
기아,충청북도,0
기아,경상남도,1
기아,경상남도,0
기아,경상남도,0
기아,강원특별자치도,0
기아,경기도,0
기아,경상남도,1
기아,서울특별시,0
기아,경기도,1
기아,충청남도,0
기아,충청남도,1
기아,대구광역시,0
기아,부산광역시,0
기아,울산광역시,0
기아,경기도,0
기아,경기도,0
기아,경기도,0
기아,충청남도,0
기아,서울특별시,0
기아,서울특별시,1
기아,서울특별시,0
기아,경기도,1
기아,경상북도,0
기아,부산광역시,1
기아,제주특별자치도,1
기아,충청남도,0
기아,경기도,0
기아,경기도,0
기아,전라남도,0
기아,대구광역시,0
기아,전라남도,0
기아,경상북도,0
기아,강원특별자치도,0
기아,경상남도,0
기아,경기도,1
기아,강원특별자치도,0
기아,인천광역시,0
기아,전북특별자치도,0
기아,전북특별자치도,0
기아,광주광역시,0
기아,경상북도,0
기아,강원특별자치도,0
