LIST_ENTRPS,LIST_REGION,high_voltage
현대,서울특별시,1
현대,서울특별시,1
현대,전라남도,1
현대,충청남도,1
현대,충청남도,1
현대,전북특별자치도,1
현대,경기도,1
현대,경기도,1
현대,서울특별시,1
현대,경기도,1
현대,부산광역시,1
현대,대구광역시,1
현대,경기도,1
현대,충청북도,1
현대,울산광역시,1
현대,울산광역시,1
현대,경상북도,1
현대,전라남도,1
현대,전라남도,1
현대,서울특별시,1
현대,부산광역시,1
현대,부산광역시,1
현대,서울특별시,1
현대,경기도,1
현대,충청남도,1
현대,충청남도,1
현대,서울특별시,1
현대,충청남도,1
현대,대구광역시,1
현대,대구광역시,0
현대,대전광역시,1
현대,서울특별시,1
현대,충청북도,1
현대,대구광역시,1
현대,대구광역시,1
현대,대구광역시,1
현대,서울특별시,1
현대,경기도,1
현대,충청남도,1
현대,충청북도,1
현대,경상북도,1
현대,전북특별자치도,1
현대,부산광역시,1
현대,부산광역시,1
현대,인천광역시,1
현대,경상북도,0
현대,부산광역시,1
현대,대전광역시,0
현대,제주특별자치도,1
현대,경기도,1
현대,충청남도,1
현대,경상남도,1
현대,전라남도,1
현대,경상남도,1
현대,충청남도,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,전북특별자치도,1
현대,부산광역시,1
현대,부산광역시,1
현대,부산광역시,1
현대,경기도,1
현대,서울특별시,1
현대,경기도,1
현대,경기도,1
현대,경상북도,1
현대,서울특별시,1
현대,대전광역시,1
현대,서울특별시,1
현대,서울특별시,1
현대,서울특별시,1
현대,전라남도,1
현대,전북특별자치도,1
현대,서울특별시,1
현대,전라남도,0
현대,경기도,1
현대,울산광역시,1
현대,전북특별자치도,0
현대,경기도,1
현대,경상남도,1
현대,충청북도,1
현대,대구광역시,1
현대,충청남도,1
현대,대전광역시,1
현대,충청남도,1
현대,경기도,1
현대,경기도,1
현대,서울특별시,0
현대,전북특별자치도,1
현대,부산광역시,1
현대,강원특별자치도,1
현대,서울특별시,0
현대,충청남도,1
현대,경상북도,1
현대,경기도,0
현대,전라남도,1
현대,강원특별자치도,0
현대,울산광역시,1
현대,경상남도,1
현대,경기도,1
현대,경상남도,1
현대,전북특별자치도,0
현대,경상남도,1
현대,대구광역시,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,경기도,0
현대,경기도,1
현대,제주특별자치도,1
현대,강원특별자치도,1
현대,대구광역시,1
현대,광주광역시,1
현대,경기도,1
현대,충청남도,1
현대,대전광역시,1
현대,충청남도,1
현대,서울특별시,1
현대,서울특별시,1
현대,서울특별시,1
현대,전라남도,1
현대,경상남도,1
현대,경상남도,1
현대,서울특별시,1
현대,서울특별시,1
현대,인천광역시,1
현대,부산광역시,1
현대,인천광역시,1
현대,경기도,0
현대,울산광역시,1
현대,대구광역시,1
현대,대구광역시,1
현대,부산광역시,1
현대,부산광역시,1
현대,울산광역시,1
현대,경기도,1
현대,경기도,1
현대,서울특별시,1
현대,경상남도,1
현대,서울특별시,1
현대,서울특별시,1
현대,부산광역시,1
현대,울산광역시,1
현대,부산광역시,1
현대,경상북도,1
현대,경상북도,1
현대,경기도,1
현대,전북특별자치도,1
현대,경기도,1
현대,서울특별시,1
현대,대전광역시,1
현대,전라남도,1
현대,전라남도,1
현대,울산광역시,1
현대,전라남도,1
현대,경상북도,1
현대,전북특별자치도,1
현대,경상북도,1
현대,경상북도,1
현대,서울특별시,1
현대,경기도,0
현대,경기도,1
현대,서울특별시,1
현대,부산광역시,1
현대,경기도,1
현대,대전광역시,1
현대,전북특별자치도,1
현대,경기도,1
현대,서울특별시,1
현대,전북특별자치도,1
현대,경기도,1
현대,인천광역시,0
현대,전라남도,1
현대,경기도,1
현대,부산광역시,1
현대,경기도,1
현대,경기도,1
현대,인천광역시,1
현대,울산광역시,1
현대,경기도,1
현대,부산광역시,1
현대,경기도,1
현대,경기도,1
현대,부산광역시,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,서울특별시,1
현대,서울특별시,1
현대,서울특별시,1
현대,서울특별시,1
현대,서울특별시,1
현대,대구광역시,1
현대,충청남도,1
현대,서울특별시,1
현대,충청남도,1
현대,경기도,1
현대,충청남도,1
현대,경기도,1
현대,경상북도,1
현대,전라남도,1
현대,전라남도,1
현대,부산광역시,1
현대,경기도,1
현대,경기도,1
현대,충청남도,1
현대,경기도,1
현대,충청남도,0
현대,전라남도,1
현대,충청북도,1
현대,경상북도,1
현대,경기도,1
현대,대구광역시,1
현대,경기도,1
현대,전라남도,1
현대,경상남도,1
현대,경상북도,1
현대,경기도,1
현대,경기도,1
현대,대구광역시,1
현대,대전광역시,1
현대,충청북도,1
현대,전라남도,1
현대,광주광역시,1
현대,경상남도,1
현대,경상남도,1
현대,부산광역시,1
현대,강원특별자치도,1
현대,부산광역시,1
현대,경기도,1
현대,경기도,1
현대,부산광역시,1
현대,부산광역시,0
현대,부산광역시,1
현대,전북특별자치도,1
현대,인천광역시,1
현대,인천광역시,1
현대,서울특별시,1
현대,경상북도,1
현대,울산광역시,1
현대,강원특별자치도,1
현대,경상남도,1
현대,경기도,0
현대,서울특별시,0
현대,광주광역시,0
현대,경상북도,1
현대,세종특별자치시,1
현대,경상남도,1
현대,울산광역시,1
현대,충청북도,1
현대,충청남도,0
현대,강원특별자치도,1
현대,경상북도,0
현대,경기도,1
현대,경기도,0
현대,충청북도,1
현대,서울특별시,1
현대,서울특별시,1
현대,전라남도,1
현대,광주광역시,0
현대,경상북도,1
현대,경기도,1
현대,경상남도,1
현대,강원특별자치도,1
현대,부산광역시,1
현대,부산광역시,0
현대,경기도,1
현대,부산광역시,1
현대,충청북도,1
현대,경상남도,1
현대,대구광역시,1
현대,인천광역시,1
현대,경기도,1
현대,경기도,1
현대,전북특별자치도,1
현대,경기도,1
현대,광주광역시,1
현대,광주광역시,1
현대,경상남도,1
현대,부산광역시,1
현대,부산광역시,1
현대,경상남도,1
현대,울산광역시,1
현대,인천광역시,1
현대,경기도,0
현대,경기도,1
현대,인천광역시,1
현대,경상남도,1
현대,경상남도,1
현대,경기도,1
현대,제주특별자치도,1
현대,충청남도,1
현대,전라남도,1
현대,서울특별시,1
현대,경상남도,1
현대,경상남도,1
현대,서울특별시,1
현대,경상북도,1
현대,서울특별시,1
현대,경기도,1
현대,대구광역시,1
현대,경기도,1
현대,대전광역시,1
현대,울산광역시,1
현대,서울특별시,1
현대,경상북도,1
현대,경상남도,1
현대,경기도,1
현대,경기도,1
현대,강원특별자치도,1
현대,광주광역시,1
현대,경상북도,0
현대,대구광역시,1
현대,제주특별자치도,0
현대,경상북도,1
현대,경상남도,1
현대,경상남도,1
현대,대구광역시,1
현대,대구광역시,0
현대,부산광역시,1
현대,울산광역시,1
현대,대구광역시,1
현대,경상남도,0
현대,전북특별자치도,0
현대,광주광역시,0
현대,충청남도,1
현대,울산광역시,1
현대,경상남도,1
현대,경상북도,1
현대,인천광역시,1
현대,서울특별시,1
현대,서울특별시,1
현대,강원특별자치도,0
현대,경기도,0
현대,전북특별자치도,0
현대,전북특별자치도,0
현대,인천광역시,1
현대,세종특별자치시,1
현대,충청남도,0
현대,충청남도,1
현대,경기도,1
현대,충청남도,1
현대,서울특별시,1
현대,서울특별시,1
현대,서울특별시,1
현대,경기도,1
현대,경기도,1
현대,대구광역시,1
현대,인천광역시,1
현대,경기도,1
현대,강원특별자치도,1
현대,서울특별시,0
현대,전라남도,1
현대,전라남도,1
현대,강원특별자치도,1
현대,울산광역시,0
현대,경상남도,1
현대,경기도,1
현대,서울특별시,1
현대,경상북도,1
현대,경기도,1
현대,경기도,0
현대,경상북도,1
현대,서울특별시,1
현대,제주특별자치도,1
현대,경기도,1
현대,충청남도,1
현대,경상북도,1
현대,충청남도,1
현대,경상남도,1
현대,세종특별자치시,1
현대,세종특별자치시,1
현대,세종특별자치시,0
현대,부산광역시,1
현대,경상남도,1
현대,경기도,1
현대,강원특별자치도,1
현대,강원특별자치도,1
현대,경상북도,0
현대,인천광역시,0
현대,충청북도,1
현대,충청남도,0
현대,광주광역시,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,전라남도,1
현대,경기도,1
현대,부산광역시,1
현대,경상북도,1
현대,광주광역시,1
현대,전북특별자치도,1
현대,전북특별자치도,1
현대,전북특별자치도,1
현대,서울특별시,1
현대,전북특별자치도,1
현대,대구광역시,1
현대,경기도,1
현대,전북특별자치도,1
현대,대구광역시,1
현대,광주광역시,1
현대,경기도,0
현대,서울특별시,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,전북특별자치도,1
현대,전라남도,1
현대,전라남도,0
현대,경기도,1
현대,대구광역시,1
현대,대구광역시,1
현대,경기도,0
현대,경기도,0
현대,경기도,1
현대,경기도,1
현대,서울특별시,1
현대,서울특별시,1
현대,대구광역시,1
현대,서울특별시,1
현대,서울특별시,1
현대,경상북도,1
현대,경기도,1
현대,서울특별시,1
현대,경기도,1
현대,경상남도,1
현대,광주광역시,1
현대,경상남도,1
현대,경기도,1
현대,서울특별시,1
현대,경상남도,1
현대,서울특별시,1
현대,경기도,1
현대,울산광역시,1
현대,서울특별시,1
현대,울산광역시,1
현대,서울특별시,1
현대,광주광역시,1
현대,충청남도,1
현대,경기도,1
현대,대구광역시,1
현대,전북특별자치도,1
현대,부산광역시,1
현대,인천광역시,1
현대,경상남도,1
현대,경기도,1
현대,서울특별시,1
현대,충청남도,1
현대,광주광역시,1
현대,제주특별자치도,1
현대,제주특별자치도,1
현대,충청남도,0
현대,경상북도,1
현대,부산광역시,1
현대,충청남도,1
현대,경상남도,1
현대,전라남도,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,서울특별시,1
현대,경기도,1
현대,대전광역시,1
현대,경기도,1
현대,경기도,1
현대,경상북도,1
현대,경기도,1
현대,경기도,1
현대,경상남도,1
현대,경상북도,1
현대,경상남도,1
현대,경상남도,1
현대,경상남도,1
현대,경상남도,1
현대,경상남도,1
현대,강원특별자치도,1
현대,서울특별시,1
현대,서울특별시,1
현대,서울특별시,1
현대,서울특별시,1
현대,서울특별시,1
현대,서울특별시,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,서울특별시,1
현대,경기도,1
현대,경기도,1
현대,울산광역시,1
현대,울산광역시,0
현대,전라남도,1
현대,전라남도,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,서울특별시,1
현대,제주특별자치도,1
현대,충청남도,1
현대,부산광역시,1
현대,충청북도,1
현대,부산광역시,1
현대,경기도,1
현대,경상남도,1
현대,경상남도,1
현대,서울특별시,1
현대,인천광역시,1
현대,서울특별시,1
현대,울산광역시,1
현대,서울특별시,1
현대,전라남도,1
현대,충청북도,1
현대,충청북도,1
현대,전북특별자치도,1
현대,전북특별자치도,1
현대,서울특별시,1
현대,전라남도,1
현대,전라남도,1
현대,충청북도,1
현대,서울특별시,1
현대,경상북도,1
현대,경상북도,1
현대,경상북도,0
현대,경기도,1
현대,경기도,1
현대,충청남도,1
현대,충청남도,1
현대,충청남도,1
현대,경상북도,1
현대,충청남도,0
현대,경기도,1
현대,서울특별시,1
현대,인천광역시,1
현대,인천광역시,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,충청북도,1
현대,경기도,1
현대,충청북도,0
현대,충청북도,1
현대,충청북도,1
현대,경상북도,1
현대,서울특별시,1
현대,인천광역시,1
현대,경기도,0
현대,경기도,1
현대,경상북도,1
현대,전라남도,1
현대,경상북도,1
현대,충청남도,1
현대,충청북도,1
현대,서울특별시,1
현대,경기도,0
현대,충청북도,1
현대,경상남도,1
현대,경상남도,1
현대,울산광역시,1
현대,서울특별시,1
현대,울산광역시,1
현대,부산광역시,1
현대,충청남도,1
현대,전라남도,1
현대,서울특별시,0
현대,경상북도,1
현대,제주특별자치도,0
현대,경상북도,1
현대,전북특별자치도,1
현대,경상남도,1
현대,경상북도,1
현대,경상남도,1
현대,대전광역시,1
현대,광주광역시,1
현대,대구광역시,0
현대,경상북도,0
현대,충청북도,0
현대,경상남도,1
현대,경상남도,1
현대,경기도,1
현대,대전광역시,1
현대,경기도,1
현대,인천광역시,1
현대,경기도,1
현대,경기도,1
현대,서울특별시,1
현대,전라남도,1
현대,부산광역시,1
현대,경기도,1
현대,인천광역시,1
현대,경기도,1
현대,경기도,1
현대,충청북도,1
현대,경기도,1
현대,경상북도,1
현대,울산광역시,1
현대,울산광역시,0
현대,울산광역시,1
현대,경상북도,1
현대,경상북도,1
현대,충청남도,1
현대,경기도,1
현대,대전광역시,1
현대,경기도,1
현대,경기도,1
현대,강원특별자치도,1
현대,강원특별자치도,1
현대,강원특별자치도,1
현대,강원특별자치도,1
현대,경기도,1
현대,광주광역시,1
현대,서울특별시,1
현대,광주광역시,1
현대,대구광역시,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,경상남도,1
현대,서울특별시,1
현대,경기도,1
현대,인천광역시,1
현대,충청북도,1
현대,충청북도,1
현대,충청북도,1
현대,대구광역시,1
현대,서울특별시,1
현대,경상남도,1
현대,경상북도,1
현대,경기도,1
현대,경기도,1
현대,경상북도,0
현대,서울특별시,1
현대,경기도,1
현대,서울특별시,1
현대,경기도,1
현대,경기도,1
현대,경상북도,1
현대,강원특별자치도,1
현대,인천광역시,1
현대,인천광역시,1
현대,인천광역시,1
현대,인천광역시,0
현대,인천광역시,1
현대,전북특별자치도,1
현대,전북특별자치도,1
현대,광주광역시,1
현대,부산광역시,1
현대,제주특별자치도,1
현대,경기도,1
현대,경기도,1
현대,전라남도,1
현대,경기도,1
현대,경기도,1
현대,울산광역시,1
현대,서울특별시,1
현대,전북특별자치도,1
현대,강원특별자치도,1
현대,대전광역시,1
현대,서울특별시,1
현대,인천광역시,1
현대,서울특별시,1
현대,충청남도,1
현대,경기도,1
현대,경기도,1
현대,경상북도,1
현대,부산광역시,1
현대,전라남도,1
현대,경상북도,1
현대,전라남도,1
현대,전북특별자치도,1
현대,경기도,0
현대,서울특별시,1
현대,경상남도,1
현대,전라남도,1
현대,충청남도,1
현대,경기도,1
현대,경기도,1
현대,서울특별시,1
현대,전북특별자치도,1
현대,전북특별자치도,1
현대,전북특별자치도,0
현대,부산광역시,1
현대,부산광역시,0
현대,경기도,1
현대,경상남도,1
현대,경기도,1
현대,강원특별자치도,1
현대,경기도,1
현대,전북특별자치도,0
현대,서울특별시,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,강원특별자치도,1
현대,경상북도,1
현대,경상북도,1
현대,경기도,1
현대,서울특별시,1
현대,제주특별자치도,0
현대,제주특별자치도,1
현대,제주특별자치도,0
현대,충청북도,1
현대,전라남도,1
현대,전라남도,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,전북특별자치도,1
현대,서울특별시,1
현대,서울특별시,1
현대,서울특별시,1
현대,부산광역시,1
현대,부산광역시,1
현대,경기도,1
현대,부산광역시,0
현대,강원특별자치도,1
현대,인천광역시,1
현대,인천광역시,1
현대,인천광역시,1
현대,전라남도,1
현대,경상남도,1
현대,경상북도,1
현대,경기도,1
현대,경기도,1
현대,서울특별시,1
현대,서울특별시,1
현대,대구광역시,1
현대,부산광역시,1
현대,부산광역시,1
현대,대구광역시,1
현대,대전광역시,1
현대,경상남도,1
현대,서울특별시,1
현대,전라남도,1
현대,경기도,1
현대,전북특별자치도,1
현대,서울특별시,1
현대,경상남도,1
현대,충청북도,1
현대,전북특별자치도,1
현대,전북특별자치도,1
현대,전라남도,1
현대,경상남도,1
현대,대전광역시,1
현대,대전광역시,1
현대,경기도,1
현대,충청남도,1
현대,경상남도,1
현대,경상남도,1
현대,경상북도,1
현대,경상남도,1
현대,경상북도,1
현대,강원특별자치도,1
현대,전북특별자치도,1
현대,경기도,1
현대,경상남도,1
현대,경상남도,1
현대,광주광역시,1
현대,경기도,1
현대,경상남도,1
현대,경상남도,1
현대,충청북도,0
현대,대구광역시,1
현대,충청북도,1
현대,충청북도,0
현대,경상남도,1
현대,경상남도,1
현대,경상남도,1
현대,경상남도,1
현대,서울특별시,1
현대,서울특별시,1
현대,경기도,1
현대,경상남도,1
현대,경상남도,0
현대,서울특별시,1
현대,경기도,1
현대,경기도,1
현대,울산광역시,1
현대,충청남도,1
현대,충청남도,1
현대,충청남도,1
현대,제주특별자치도,1
현대,경기도,1
현대,서울특별시,1
현대,강원특별자치도,1
현대,충청북도,1
현대,서울특별시,1
현대,서울특별시,1
현대,충청남도,1
현대,경상북도,1
현대,경상북도,1
현대,인천광역시,1
현대,경상북도,1
현대,충청남도,1
현대,충청북도,1
현대,충청북도,1
현대,충청북도,0
현대,충청북도,0
현대,인천광역시,1
현대,서울특별시,1
현대,경기도,1
현대,경기도,1
현대,부산광역시,1
현대,경상남도,0
현대,경기도,1
현대,강원특별자치도,1
현대,강원특별자치도,1
현대,경상남도,0
현대,서울특별시,1
현대,경상북도,1
현대,경기도,1
현대,충청북도,1
현대,대전광역시,1
현대,충청남도,1
현대,인천광역시,1
현대,강원특별자치도,1
현대,강원특별자치도,1
현대,경기도,1
현대,충청남도,1
현대,전북특별자치도,1
현대,대구광역시,1
현대,경기도,1
현대,전북특별자치도,1
현대,울산광역시,1
현대,경상북도,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,강원특별자치도,1
현대,경상남도,1
현대,경기도,1
현대,경기도,1
현대,경기도,0
현대,강원특별자치도,1
현대,경기도,1
현대,경기도,1
현대,경상남도,1
현대,경상남도,1
현대,경기도,1
현대,경기도,0
현대,경기도,1
현대,경상남도,1
현대,대구광역시,1
현대,대구광역시,1
현대,경상남도,1
현대,강원특별자치도,1
현대,경기도,1
현대,경기도,0
현대,경기도,1
현대,제주특별자치도,1
현대,경상북도,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,경상북도,0
현대,서울특별시,1
현대,경기도,1
현대,광주광역시,1
현대,경상남도,1
현대,경상남도,1
현대,광주광역시,1
현대,경기도,0
현대,인천광역시,1
현대,부산광역시,1
현대,전라남도,1
현대,경기도,1
현대,경상남도,1
현대,경기도,1
현대,충청북도,1
현대,경기도,1
현대,경상북도,1
현대,경상북도,1
현대,전북특별자치도,1
현대,경기도,1
현대,인천광역시,1
현대,부산광역시,1
현대,경기도,0
현대,제주특별자치도,1
현대,대구광역시,1
현대,경기도,1
현대,경상남도,1
현대,경상남도,1
현대,전북특별자치도,1
현대,전라남도,1
현대,경상남도,1
현대,경상남도,1
현대,전라남도,0
현대,충청남도,1
현대,경상남도,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,전북특별자치도,1
현대,충청북도,1
현대,서울특별시,1
현대,대구광역시,1
현대,경기도,1
현대,경기도,1
현대,충청북도,0
현대,충청북도,1
현대,충청북도,1
현대,충청북도,0
현대,울산광역시,0
현대,경상북도,1
현대,대구광역시,1
현대,대구광역시,1
현대,울산광역시,1
현대,경기도,1
현대,경기도,1
현대,전북특별자치도,1
현대,충청북도,1
현대,경기도,1
현대,전라남도,1
현대,서울특별시,1
현대,강원특별자치도,1
현대,서울특별시,1
현대,경기도,1
현대,제주특별자치도,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,경기도,1
현대,전라남도,1
현대,서울특별시,1
현대,대구광역시,1
현대,전라남도,1
현대,광주광역시,1
현대,경기도,1
현대,전북특별자치도,0
현대,충청남도,1
현대,경상북도,1
현대,경상북도,1
현대,서울특별시,1
현대,서울특별시,1
현대,충청북도,1
현대,경기도,1
현대,경상남도,1
현대,대구광역시,1
현대,울산광역시,1
현대,전북특별자치도,1
현대,전북특별자치도,1
현대,전북특별자치도,1
현대,강원특별자치도,1
현대,경상북도,1
현대,경상북도,1
